dataset,mode,role,lambda,n_budget_type,n_budget,n_star,n_star_ci_low,n_star_ci_high,reference_type,reference_n,ratio,ratio_ci_low,ratio_ci_high,early_stop_flag,budget_sensitive,budget_extrapolates_beyond_observed
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7536180904522614,observed_max,50.0,13,,,N95,22.0,0.5909090909090909,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7585427135678392,observed_max,50.0,13,,,N95,22.0,0.5909090909090909,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7634673366834172,observed_max,50.0,13,,,N95,22.0,0.5909090909090909,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.768391959798995,observed_max,50.0,14,,,N95,22.0,0.6363636363636364,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.773316582914573,observed_max,50.0,14,,,N95,22.0,0.6363636363636364,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7782412060301508,observed_max,50.0,14,,,N95,22.0,0.6363636363636364,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7831658291457286,observed_max,50.0,14,,,N95,22.0,0.6363636363636364,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7880904522613066,observed_max,50.0,14,,,N95,22.0,0.6363636363636364,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7930150753768844,observed_max,50.0,15,,,N95,22.0,0.6818181818181818,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.7979396984924624,observed_max,50.0,15,,,N95,22.0,0.6818181818181818,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8028643216080402,observed_max,50.0,15,,,N95,22.0,0.6818181818181818,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8077889447236182,observed_max,50.0,15,,,N95,22.0,0.6818181818181818,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.812713567839196,observed_max,50.0,16,,,N95,22.0,0.7272727272727273,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8176381909547739,observed_max,50.0,16,,,N95,22.0,0.7272727272727273,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8225628140703518,observed_max,50.0,16,,,N95,22.0,0.7272727272727273,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8274874371859297,observed_max,50.0,16,,,N95,22.0,0.7272727272727273,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8324120603015076,observed_max,50.0,17,,,N95,22.0,0.7727272727272727,,,True,True,False
CIFAR-10H,gold_accuracy,primary_saturating_validation,0.8373366834170854,observed_max,50.0,17,,,N95,22.0,0.7727272727272727,,,True,True,False
